model_name,fid,frds,test_recon_loss
ld-8-beta-0-gamma-5000,16.045595169067383,122.2271728515625,7876.4775390625
ld-2-beta-1-gamma-20,30.357030868530273,128.00906372070312,5450.55859375
ld-2-beta-0-gamma-20,31.01227378845215,128.54150390625,5446.72705078125
ld-2-beta-0-gamma-10,69.60216522216797,137.12864685058594,5451.12353515625
ld-4-beta-0-gamma-2,38.542640686035156,229.2029266357422,3423.080810546875
ld-8-beta-1-gamma-20,23.428489685058594,256.4385070800781,2003.571533203125
ld-8-beta-0-gamma-20,23.625938415527344,266.7864990234375,1993.067626953125
ld-4-beta-1-gamma-1,54.10726547241211,272.9026184082031,3230.169189453125
ld-16-beta-1-gamma-20,21.915285110473633,282.33477783203125,1569.4622802734375
ld-6-beta-0-gamma-20,25.107040405273438,291.5591735839844,2334.8671875
ld-16-beta-0-gamma-20,22.26765251159668,292.1237487792969,1561.8865966796875
ld-2-beta-1-gamma-2,92.53377532958984,293.49298095703125,5556.96484375
ld-6-beta-1-gamma-20,26.26681137084961,303.0293884277344,2363.534912109375
ld-2-beta-1-gamma-1,84.9472885131836,329.58770751953125,5520.25390625
ld-2-beta-0-gamma-2,84.7412338256836,350.25140380859375,5521.19970703125
ld-8-beta-1-gamma-10,23.855804443359375,366.27093505859375,1913.48681640625
ld-2-beta-0-gamma-1,67.4908218383789,382.75347900390625,5507.80908203125
ld-16-beta-1-gamma-5,24.52886390686035,385.3799743652344,1339.590576171875
ld-16-beta-0-gamma-5,23.610496520996094,389.232177734375,1340.6883544921875
ld-16-beta-1-gamma-10,22.261709213256836,390.95074462890625,1439.02001953125
ld-8-beta-0-gamma-10,24.42300033569336,406.3121032714844,1869.6612548828125
ld-16-beta-0-gamma-10,23.356595993041992,407.537109375,1392.5164794921875
ld-16-beta-1-gamma-2,29.0264892578125,421.492919921875,1347.7196044921875
ld-4-beta-0-gamma-1,60.638916015625,436.79254150390625,3406.867431640625
ld-16-beta-1-gamma-1,26.949195861816406,482.0958251953125,1309.63818359375
ld-16-beta-0-gamma-2,28.050477981567383,487.29205322265625,1294.7664794921875
ld-6-beta-1-gamma-10,24.715436935424805,496.1795349121094,2290.033203125
ld-16-beta-0-gamma-1,30.629295349121094,507.7034606933594,1287.7967529296875
ld-6-beta-0-gamma-10,24.884017944335938,517.3322143554688,2281.289306640625
ld-8-beta-0-gamma-5,38.79304504394531,553.3927612304688,1773.057373046875
ld-8-beta-1-gamma-5,33.349037170410156,555.298095703125,1805.453125
ld-6-beta-1-gamma-5,26.60227394104004,658.0498046875,2206.318359375
ld-6-beta-0-gamma-5,27.911264419555664,695.2764282226562,2168.810302734375
ld-8-beta-0-gamma-2,40.96261978149414,789.7586669921875,1755.620361328125
ld-8-beta-1-gamma-2,40.359649658203125,830.9088745117188,1754.8040771484375
ld-8-beta-1-gamma-1,45.31629180908203,866.0651245117188,1735.923828125
ld-6-beta-1-gamma-2,32.165348052978516,866.9937133789062,2128.47802734375
ld-6-beta-0-gamma-2,36.182884216308594,900.3271484375,2107.6162109375
ld-8-beta-0-gamma-1,40.88176727294922,908.7269897460938,1747.0560302734375
ld-6-beta-1-gamma-1,42.04570007324219,971.1611328125,2119.071044921875
ld-6-beta-0-gamma-1,96.10371398925781,1194.31591796875,2142.731201171875
