model_name,gen/frds,gen/anatomically_valid,loss/dsc
ld-8-beta-1-gamma-1000,221.04786682128906,0.7221189737319946,0.8699719309806824
ld-6-beta-0-gamma-50,235.1475830078125,0.4368029832839966,0.8560869693756104
ld-6-beta-1-gamma-2000,235.42816162109375,0.7927509546279907,0.8580800294876099
ld-16-beta-1-gamma-200,235.9362335205078,0.2249070703983307,0.8947376012802124
ld-16-beta-1-gamma-100,262.1324157714844,0.25371748208999634,0.8970987796783447
ld-8-beta-1-gamma-5000,289.5758056640625,0.8661710023880005,0.8691286444664001
ld-6-beta-0-gamma-5000,303.379638671875,0.7657992839813232,0.8528233170509338
ld-4-beta-0-gamma-20,307.85302734375,0.5771375298500061,0.7926537394523621
ld-8-beta-1-gamma-50,314.91986083984375,0.6013011336326599,0.8688028454780579
ld-16-beta-0-gamma-200,319.9797668457031,0.29089218378067017,0.8971053957939148
ld-8-beta-0-gamma-5000,326.0299072265625,0.8968401551246643,0.8711490631103516
ld-4-beta-1-gamma-200,336.4403381347656,0.8187732100486755,0.7966989278793335
ld-4-beta-1-gamma-10,344.5250549316406,0.6161710023880005,0.7947461605072021
ld-2-beta-1-gamma-100,360.4732360839844,0.7388476133346558,0.6407567858695984
ld-16-beta-1-gamma-50,362.7802734375,0.14962825179100037,0.8988342881202698
ld-2-beta-0-gamma-100,365.3746337890625,0.7472118735313416,0.6410876512527466
ld-16-beta-1-gamma-2000,380.656494140625,0.4535315930843353,0.8926668763160706
ld-16-beta-0-gamma-2000,408.3225402832031,0.3847583532333374,0.8910712599754333
ld-2-beta-1-gamma-50,424.2118225097656,0.7063196897506714,0.642244279384613
ld-16-beta-0-gamma-50,428.74951171875,0.160780668258667,0.8992579579353333
ld-6-beta-1-gamma-500,445.574951171875,0.6273234486579895,0.8565090894699097
ld-4-beta-1-gamma-5,446.7451477050781,0.524163544178009,0.800575852394104
ld-4-beta-1-gamma-5000,459.2781066894531,0.7007434964179993,0.7981159090995789
ld-2-beta-0-gamma-50,472.1711730957031,0.660780668258667,0.6441717147827148
ld-4-beta-1-gamma-2000,479.6129150390625,0.7425650358200073,0.790427565574646
ld-16-beta-0-gamma-5000,489.7334289550781,0.0009293680195696652,0.1365889012813568
ld-2-beta-1-gamma-20,491.027099609375,0.4693308472633362,0.640201210975647
ld-4-beta-0-gamma-500,508.69140625,0.828066885471344,0.7915831804275513
ld-8-beta-0-gamma-20,519.9884643554688,0.43215614557266235,0.8735069036483765
ld-4-beta-1-gamma-1000,528.600830078125,0.8364312052726746,0.7898651361465454
ld-2-beta-1-gamma-5,528.8768920898438,0.37453532218933105,0.6430541276931763
ld-4-beta-0-gamma-1000,547.17333984375,0.8076208233833313,0.7928526997566223
ld-4-beta-1-gamma-500,550.1880493164062,0.7946096658706665,0.7958889007568359
ld-4-beta-0-gamma-2000,550.1930541992188,0.7946096658706665,0.7918351888656616
ld-2-beta-1-gamma-2,555.3170776367188,0.3011152446269989,0.6433575749397278
ld-2-beta-1-gamma-1,560.3783569335938,0.28531599044799805,0.6427134871482849
ld-4-beta-0-gamma-5000,561.5663452148438,0.524163544178009,0.7975864410400391
ld-2-beta-0-gamma-20,570.4385986328125,0.4739776849746704,0.6422581672668457
ld-2-beta-1-gamma-10,572.8927612304688,0.37546467781066895,0.6404102444648743
ld-6-beta-0-gamma-500,596.4509887695312,0.6031598448753357,0.8598059415817261
ld-2-beta-0-gamma-2000,598.458740234375,0.6812267899513245,0.6446161270141602
ld-2-beta-1-gamma-2000,599.0960083007812,0.7472118735313416,0.6438071131706238
ld-2-beta-1-gamma-500,599.320068359375,0.6793680191040039,0.6452555656433105
ld-2-beta-0-gamma-500,612.9590454101562,0.7314126491546631,0.6420723795890808
ld-6-beta-0-gamma-20,620.5003051757812,0.46468400955200195,0.8576980829238892
ld-2-beta-1-gamma-1000,621.5027465820312,0.6533457040786743,0.6445518136024475
ld-2-beta-0-gamma-200,639.8314208984375,0.7648698687553406,0.6431887745857239
