model_name,fid,fid_resnet,test_recon_loss
ld-2-beta-1-gamma-2000,18.379314422607422,105.89266204833984,5610.123046875
ld-2-beta-1-gamma-1000,18.335731506347656,106.8678970336914,5468.4765625
ld-2-beta-0-gamma-1000,18.337955474853516,106.87242889404297,5467.98876953125
ld-4-beta-0-gamma-10,33.4111328125,107.51422119140625,2727.956787109375
ld-2-beta-1-gamma-5,62.81363296508789,109.48064422607422,4809.91943359375
ld-8-beta-1-gamma-5000,19.098899841308594,110.04525756835938,6741.1259765625
ld-2-beta-0-gamma-5000,19.106544494628906,110.1671142578125,6172.0498046875
ld-2-beta-1-gamma-5000,19.1093692779541,110.19319152832031,6172.16650390625
ld-2-beta-0-gamma-5,71.85951232910156,114.93484497070312,4805.32666015625
ld-16-beta-1-gamma-5000,16.476564407348633,115.76038360595703,6652.3212890625
ld-16-beta-0-gamma-5000,16.468812942504883,115.78165435791016,6651.24462890625
ld-8-beta-0-gamma-5000,18.859933853149414,116.22895812988281,6675.7890625
ld-6-beta-1-gamma-5000,18.43538475036621,120.7838134765625,6503.22607421875
ld-4-beta-1-gamma-5000,17.347671508789062,121.03655242919922,6543.5126953125
ld-4-beta-0-gamma-5000,17.330942153930664,121.14220428466797,6545.86474609375
ld-6-beta-0-gamma-5000,18.67569351196289,121.55469512939453,6517.52783203125
ld-8-beta-1-gamma-20,22.577367782592773,124.87588500976562,1736.52587890625
ld-2-beta-1-gamma-2,89.11051940917969,128.5074920654297,4821.77490234375
ld-4-beta-1-gamma-5,45.44883346557617,129.19151306152344,2717.85498046875
ld-2-beta-0-gamma-2,83.70185852050781,135.24293518066406,4794.74365234375
ld-2-beta-0-gamma-1,74.84947967529297,136.5400848388672,4789.056640625
ld-2-beta-1-gamma-1,80.71609497070312,138.1011962890625,4780.634765625
ld-4-beta-0-gamma-5,49.06649398803711,140.98463439941406,2719.03955078125
ld-4-beta-0-gamma-1,35.21400833129883,189.9190673828125,2736.2216796875
ld-4-beta-1-gamma-2,57.22763442993164,194.39662170410156,2703.760009765625
ld-4-beta-0-gamma-2,64.68995666503906,200.47885131835938,2677.715087890625
ld-4-beta-1-gamma-1,59.54612350463867,273.71673583984375,2686.129638671875
ld-6-beta-1-gamma-20,22.436697006225586,302.0083923339844,2042.1103515625
ld-16-beta-1-gamma-20,27.69065284729004,307.3369445800781,1402.828857421875
ld-8-beta-1-gamma-10,26.602149963378906,313.02166748046875,1668.2802734375
ld-6-beta-0-gamma-20,22.714731216430664,317.145263671875,2041.701904296875
ld-16-beta-0-gamma-20,28.006223678588867,322.7537536621094,1373.305419921875
ld-8-beta-0-gamma-10,28.710351943969727,379.5490417480469,1680.1275634765625
ld-16-beta-0-gamma-10,34.78885269165039,451.8627624511719,1258.111572265625
ld-6-beta-1-gamma-10,22.966236114501953,453.3662109375,2028.9892578125
ld-16-beta-1-gamma-10,33.82783508300781,459.6320495605469,1265.3939208984375
ld-6-beta-0-gamma-10,23.175813674926758,466.6929626464844,2023.7764892578125
ld-16-beta-1-gamma-5,37.636497497558594,511.0062255859375,1216.3192138671875
ld-16-beta-1-gamma-2,42.39365768432617,536.074951171875,1200.035888671875
ld-16-beta-0-gamma-5,39.04315185546875,545.0307006835938,1217.12255859375
ld-6-beta-1-gamma-5,25.435171127319336,557.34375,1956.8662109375
ld-16-beta-0-gamma-2,45.37873458862305,557.4215698242188,1184.2908935546875
ld-6-beta-0-gamma-5,27.259660720825195,570.9984741210938,1973.552490234375
ld-16-beta-1-gamma-1,41.011474609375,574.343017578125,1183.4625244140625
ld-16-beta-0-gamma-1,44.91749954223633,606.4520263671875,1151.993408203125
ld-6-beta-1-gamma-2,28.41554832458496,698.4844970703125,1940.4593505859375
ld-8-beta-1-gamma-5,40.175148010253906,720.5429077148438,1610.85107421875
ld-6-beta-0-gamma-2,35.820335388183594,780.28857421875,1937.405517578125
ld-8-beta-0-gamma-5,45.162532806396484,785.6351928710938,1598.192138671875
ld-6-beta-1-gamma-1,36.649452209472656,808.4352416992188,1924.6234130859375
ld-8-beta-1-gamma-1,35.2890739440918,849.3638305664062,1665.8817138671875
ld-6-beta-0-gamma-1,48.98723220825195,892.6189575195312,1933.16015625
ld-8-beta-1-gamma-2,53.25859451293945,911.0452880859375,1615.5350341796875
ld-8-beta-0-gamma-2,53.474830627441406,981.079833984375,1595.01025390625
ld-8-beta-0-gamma-1,43.07447052001953,1164.0460205078125,1622.8057861328125
